Country ID,Country,1990,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Footnotes 1990,Footnotes 1995,Footnotes 1996,Footnotes 1997,Footnotes 1998,Footnotes 1999,Footnotes 2000,Footnotes 2001,Footnotes 2002,Footnotes 2003,Footnotes 2004,Footnotes 2005,Footnotes 2006,Footnotes 2007,Footnotes 2008,Footnotes 2009,Footnotes 2010,Footnotes 2011,Footnotes 2012,Footnotes 2013,Footnotes 2014,Footnotes 2015,Footnotes 2016,Footnotes 2017,Unnamed: 50,Basel Convention,CITES,Convention on Biological Diversity,Convention on Migratory Species,Kyoto Protocol,Montreal Protocol,Paris Agreement,Ramsar Convention,Rotterdam Convention,Stockholm Convention,UN Convention on the Law of the Sea,UN Convention to Combat Desertification,UN Framework Convention on Climate Change,World Heritage Convention,2000 Percent Change,2001 Percent Change,2002 Percent Change,2003 Percent Change,2004 Percent Change,2005 Percent Change,2006 Percent Change,2007 Percent Change,2008 Percent Change,2009 Percent Change,2010 Percent Change,2011 Percent Change,2012 Percent Change,2013 Percent Change,2014 Percent Change,2015 Percent Change,2016 Percent Change
372.0,Ireland,...,...,...,...,...,...,,,,,724345.0,,708791.0,,743418.0,,1972204.0,,478706.0,,482907.0,,533987.0,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,1994,2002,1996,1983,2002,1988.0,2016,1985,2005,2010,1996,1997.0,1994.0,1991,,,,,,,,,,,,,,,,,
380.0,Italy,...,...,...,...,...,...,,,,,6134449.0,,7464670.0,,6878155.0,,8543415.0,,8987032.0,,8877164.0,,9706964.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1994,1979,1994,1983,2002,1988.0,2016,1977,2002,...,1995,1997.0,1994.0,1978,,,,,,,,,,,,,,,,,
388.0,Jamaica,...,...,10000,10000,10000,10000,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003,1997,1995,...,1999,1993.0,2017,1998,2002,2007,1983,1997.0,1995.0,1983,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
400.0,Jordan,...,...,...,...,...,...,,,,73616.70313,33431.80078,71404.29688,,,1293804.375,108403.3984,61962.10156,1230440.625,,47400.0,,,,,,,,,,,,,,,,,,,"20,21",20,20,"20,21",,,,,,,,1989,1978,1994,2001,2003,1989.0,2016,1977,2002,2004,1995,1996.0,1993.0,1975,,,,-54.58666395184437,113.58196451899292,,,,-91.62134550673474,-42.84118166538956,1885.7955008329125,,,,,,
398.0,Kazakhstan,...,...,...,...,...,...,,,,,701317632.0,1684318464.0,263971104.0,261188000.0,453372992.0,227555008.0,303116992.0,420668288.0,355952512.0,382214304.0,337414784.0,251565600.0,151391104.0,126874304.0,,,,,,,,,,,,,,,,,,,,,,,,,,2003,2000,1994,2006,2009,1998.0,2016,2007,2007,2007,...,1997.0,1995.0,1994,,,,,140.16485357664584,-84.32772010507391,-1.0543214608823244,73.58109560929293,-49.80843322930008,33.206029902009455,38.78083350734755,-15.384039597489222,7.37789202622624,-11.72104746765312,-25.443219464859013,-39.82042695821686,-16.194346531748653
404.0,Kenya,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,38347.19922,,,,,,,,,,,,,,,,,,,,,,,,22,,2000,1978,1994,1999,2005,1988.0,2016,1990,2005,2004,1989,1997.0,1994.0,1991,,,,,,,,,,,,,,,,,
414.0,Kuwait,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,4955.0,,,,,,,,,,,,,,,,,,,,,,,,,,1993,2002,2002,...,2005,1992.0,2018,2015,2006,2006,1986,1997.0,1994.0,2002,,,,,,,,,,,,,,,,,
417.0,Kyrgyzstan,...,472293,627300,6270199,5910375,6070125,6304093.0,6229596.0,6512801.0,6421306.0,6410924.0,6206201.0,5827043.0,5546316.0,5581166.0,5683650.0,5806791.5,10152943.0,4930215.5,7957259.5,10223015.0,10498943.0,12377486.0,12648247.0,,,,,,,,,,,,,,,,,,,,,,,23,23,,1996,2007,1996,2014,2003,2000.0,...,2003,2000,2006,...,1997.0,2000.0,1995,-1.1817243178360473,4.5461214499303,-1.4048486972041676,-0.16168050549218493,-3.193346232149999,-6.109341286239359,-4.817657944175116,0.6283450131582837,1.8362471211212854,2.166591890774414,74.84600575033562,-51.44052813061199,61.39780299664386,28.474068239197177,2.699086326294151,17.8926869114348,2.1875282266528115
428.0,Latvia,...,...,...,...,...,...,,,,,16955.0,,65333.0,,67462.0,,67906.0,,95114.0,,104142.0,,66230.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1992,1997,1996,1999,2002,1995.0,2017,1995,2003,2004,2004,2002.0,1995.0,1995,,,,,,,,,,,,,,,,,
422.0,Lebanon,...,...,...,...,3945,...,,108218.0,100492.0,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,1994,2013,1995,2019,2006,1993.0,...,1999,2006,2003,1995,1996.0,1994.0,1983,,-7.1392929087582475,,,,,,,,,,,,,,,
